Date,Store,DayOfWeek,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,Next day is SchoolHoliday,Next day is StateHoliday,Next day is a Promo,Next day is Open
2015-05-30,369,6,7906,633,1,0,0,0,0,0,0,0
2015-05-30,370,6,9146,718,1,0,0,0,0,0,0,0
2015-05-30,372,6,9437,723,1,0,0,0,0,0,0,0
2015-05-30,375,6,5301,420,1,0,0,0,0,0,0,0
2015-05-30,378,6,7194,966,1,0,0,0,0,0,0,0
2015-05-30,374,6,5590,573,1,0,0,0,0,0,0,0
2015-05-30,365,6,6200,666,1,0,0,0,0,0,0,0
2015-05-30,381,6,5769,528,1,0,0,0,0,0,0,0
2015-05-30,351,6,6232,517,1,0,0,0,0,0,0,0
2015-05-30,352,6,7817,685,1,0,0,0,0,0,0,0
2015-05-30,366,6,4205,364,1,0,0,0,0,0,0,0
2015-05-30,356,6,7910,536,1,0,0,0,0,0,0,0
2015-05-30,358,6,10857,1113,1,0,0,0,0,0,0,0
2015-05-30,362,6,9980,1220,1,0,0,0,0,0,0,0
2015-05-30,363,6,7375,949,1,0,0,0,0,0,0,0
2015-05-30,382,6,6694,541,1,0,0,0,0,0,0,0
2015-05-30,414,6,7954,604,1,0,0,0,0,0,0,0
2015-05-30,413,6,6493,657,1,0,0,0,0,0,0,0
2015-05-30,411,6,10828,786,1,0,0,0,0,0,0,0
2015-05-30,410,6,7748,868,1,0,0,0,0,0,0,0
2015-05-30,406,6,8269,605,1,0,0,0,0,0,0,0
2015-05-30,400,6,7130,994,1,0,0,0,0,0,0,0
2015-05-30,385,6,7413,710,1,0,0,0,0,0,0,0
2015-05-30,386,6,7425,580,1,0,0,0,0,0,0,0
2015-05-30,387,6,8764,1052,1,0,0,0,0,0,0,0
2015-05-30,389,6,9376,1131,1,0,0,0,0,0,0,0
2015-05-30,383,6,19433,2282,1,0,0,0,0,0,0,0
2015-05-30,394,6,10712,806,1,0,0,0,0,0,0,0
2015-05-30,395,6,3267,383,1,0,0,0,0,0,0,0
2015-05-30,397,6,4870,620,1,0,0,0,0,0,0,0
2015-05-30,398,6,6958,745,1,0,0,0,0,0,0,0
2015-05-30,392,6,5205,477,1,0,0,0,0,0,0,0
2015-05-30,317,6,6692,710,1,0,0,0,0,0,0,0
2015-05-30,348,6,8727,684,1,0,0,0,0,0,0,0
2015-05-30,311,6,6671,697,1,0,0,0,0,0,0,0
2015-05-30,307,6,1324,164,1,0,0,0,0,0,0,0
2015-05-30,306,6,3357,308,1,0,0,0,0,0,0,0
2015-05-30,305,6,8329,745,1,0,0,0,0,0,0,0
2015-05-30,299,6,7504,823,1,0,0,0,0,0,0,1
2015-05-30,298,6,8585,758,1,0,0,0,0,0,0,0
2015-05-30,297,6,5450,492,1,0,0,0,0,0,0,0
2015-05-30,296,6,4606,491,1,0,0,0,0,0,0,0
2015-05-30,295,6,6518,728,1,0,0,0,0,0,0,0
2015-05-30,281,6,7027,666,1,0,0,0,0,0,0,0
2015-05-30,283,6,8620,756,1,0,0,0,0,0,0,0
2015-05-30,284,6,6157,507,1,0,0,0,0,0,0,0
2015-05-30,285,6,7257,610,1,0,0,0,0,0,0,0
2015-05-30,286,6,1583,148,1,0,0,0,0,0,0,0
2015-05-30,287,6,10282,867,1,0,0,0,0,0,0,0
2015-05-30,289,6,6389,579,1,0,0,0,0,0,0,0
2015-05-30,290,6,4777,474,1,0,0,0,0,0,0,0
2015-05-30,293,6,6219,744,1,0,0,0,0,0,0,0
2015-05-30,288,6,5777,465,1,0,0,0,0,0,0,0
2015-05-30,315,6,3040,294,1,0,0,0,0,0,0,0
2015-05-30,343,6,7440,668,1,0,0,0,0,0,0,0
2015-05-30,341,6,5846,732,1,0,0,0,0,0,0,0
2015-05-30,340,6,4713,630,1,0,0,0,0,0,0,0
2015-05-30,338,6,6151,534,1,0,0,0,0,0,0,0
2015-05-30,333,6,10604,1204,1,0,0,0,0,0,0,0
2015-05-30,332,6,2056,250,1,0,0,0,0,0,0,0
2015-05-30,331,6,4553,571,1,0,0,0,0,0,0,0
2015-05-30,316,6,10790,942,1,0,0,0,0,0,0,0
2015-05-30,318,6,5978,527,1,0,0,0,0,0,0,0
2015-05-30,319,6,7003,679,1,0,0,0,0,0,0,0
2015-05-30,320,6,14821,2008,1,0,0,0,0,0,0,0
2015-05-30,321,6,8320,760,1,0,0,0,0,0,0,0
2015-05-30,322,6,2344,243,1,0,0,0,0,0,0,0
2015-05-30,323,6,8101,682,1,0,0,0,0,0,0,0
2015-05-30,327,6,7548,882,1,0,0,0,0,0,0,0
2015-05-30,330,6,5474,513,1,0,0,0,0,0,0,0
2015-05-30,486,6,3258,379,1,0,0,0,0,0,0,0
2015-05-30,520,6,3330,345,1,0,0,0,0,0,0,0
2015-05-30,519,6,6944,658,1,0,0,0,0,0,0,0
2015-05-30,518,6,6331,556,1,0,0,0,0,0,0,0
2015-05-30,511,6,6083,793,1,0,0,0,0,0,0,0
2015-05-30,510,6,6456,591,1,0,0,0,0,0,0,0
2015-05-30,507,6,8902,709,1,0,0,0,0,0,0,0
2015-05-30,505,6,4986,577,1,0,0,0,0,0,0,0
2015-05-30,504,6,7919,1065,1,0,0,0,0,0,0,0
